Six, Slow, FullFrame, One, One, Low, 165.0000
Six, Slow, FullFrame, One, One, High, 30.0000
Six, Slow, FullFrame, One, Two, Low, 82.2000
Six, Slow, FullFrame, One, Two, High, 30.0000
Six, Slow, FullFrame, One, Four, Low, 40.2000
Six, Slow, FullFrame, One, Four, High, 30.0000
Six, Slow, FullFrame, Two, One, Low, 100.6000
Six, Slow, FullFrame, Two, One, High, 30.0000
Six, Slow, FullFrame, Two, Two, Low, 48.6000
Six, Slow, FullFrame, Two, Two, High, 30.0000
Six, Slow, FullFrame, Two, Four, Low, 24.2000
Six, Slow, FullFrame, Two, Four, High, 20.0000
Six, Slow, FullFrame, Four, One, Low, 66.8000
Six, Slow, FullFrame, Four, One, High, 30.0000
Six, Slow, FullFrame, Four, Two, Low, 31.8000
Six, Slow, FullFrame, Four, Two, High, 23.9285
Six, Slow, FullFrame, Four, Four, Low, 15.2000
Six, Slow, FullFrame, Four, Four, High, 20.0000
Six, Slow, Ccd2, One, One, Low, 158.0000
Six, Slow, Ccd2, One, One, High, 30.0000
Six, Slow, Ccd2, One, Two, Low, 79.0000
Six, Slow, Ccd2, One, Two, High, 30.0000
Six, Slow, Ccd2, One, Four, Low, 39.0000
Six, Slow, Ccd2, One, Four, High, 30.0000
Six, Slow, Ccd2, Two, One, Low, 93.4000
Six, Slow, Ccd2, Two, One, High, 30.0000
Six, Slow, Ccd2, Two, Two, Low, 47.0000
Six, Slow, Ccd2, Two, Two, High, 30.0000
Six, Slow, Ccd2, Two, Four, Low, 21.4000
Six, Slow, Ccd2, Two, Four, High, 20.0000
Six, Slow, Ccd2, Four, One, Low, 61.4000
Six, Slow, Ccd2, Four, One, High, 30.0000
Six, Slow, Ccd2, Four, Two, Low, 29.6000
Six, Slow, Ccd2, Four, Two, High, 23.9282
Six, Slow, Ccd2, Four, Four, Low, 12.6000
Six, Slow, Ccd2, Four, Four, High, 20.0000
Six, Slow, CentralSpectrum, One, One, Low, 40.2000
Six, Slow, CentralSpectrum, One, One, High, 28.4805
Six, Slow, CentralSpectrum, One, Two, Low, 21.4000
Six, Slow, CentralSpectrum, One, Two, High, 20.0000
Six, Slow, CentralSpectrum, One, Four, Low, 13.2000
Six, Slow, CentralSpectrum, One, Four, High, 10.0000
Six, Slow, CentralSpectrum, Two, One, Low, 30.0000
Six, Slow, CentralSpectrum, Two, One, High, 20.0000
Six, Slow, CentralSpectrum, Two, Two, Low, 17.2000
Six, Slow, CentralSpectrum, Two, Two, High, 10.0000
Six, Slow, CentralSpectrum, Two, Four, Low, 9.2000
Six, Slow, CentralSpectrum, Two, Four, High, 10.0000
Six, Slow, CentralSpectrum, Four, One, Low, 21.0000
Six, Slow, CentralSpectrum, Four, One, High, 20.0000
Six, Slow, CentralSpectrum, Four, Two, Low, 13.0000
Six, Slow, CentralSpectrum, Four, Two, High, 10.0000
Six, Slow, CentralSpectrum, Four, Four, Low, 8.8000
Six, Slow, CentralSpectrum, Four, Four, High, 10.0000
